井上压力（MPa）,注水流量（L/Min）,回水流量（L/Min）,注入量（L）,回流量（L）,,,,,,
0.031764248,0.005435078,-0.015497718,134.6541099,-51.16913291,,,,,,
0.012441667,0.005435078,-0.016302826,134.6541144,-51.1691465,,,,,,
0.046256184,0.011070831,-0.012277288,134.6541236,-51.16915673,,,,,,
0.070409411,0.003019756,-0.021938579,134.6541261,-51.16917501,,,,,,
0.123546509,0.002214648,-0.015497718,134.654128,-51.16918793,,,,,,
0.046256184,0.005435078,-0.018718148,134.6541325,-51.16920353,,,,,,
0.055917475,-0.001005782,-0.014692611,134.6541317,-51.16921577,,,,,,
0.026933603,0.008655509,-0.016302826,134.6541389,-51.16922936,,,,,,
0.041425539,0.005435078,-0.017913041,134.6541434,-51.16924428,,,,,,
-0.002050269,0.010265724,-0.025159009,134.654152,-51.16926525,,,,,,
0.051086829,0.009460616,-0.009861965,134.6541599,-51.16927347,,,,,,
0.084901347,0.008655509,-0.007446643,134.6541671,-51.16927967,,,,,,
0.142869091,0.004629971,-0.017107933,134.6541709,-51.16929393,,,,,,
0.099393283,0.005435078,-0.017107933,134.6541755,-51.16930819,,,,,,
0.022102957,0.001409541,-0.016302826,134.6541766,-51.16932177,,,,,,
0.002780376,0.006240186,-0.016302826,134.6541818,-51.16933536,,,,,,
0.046256184,0.009460616,-0.016302826,134.6541897,-51.16934894,,,,,,
0.1332078,-0.001005782,-0.018718148,134.6541889,-51.16936454,,,,,,
0.118715864,0.007045293,-0.017107933,134.6541948,-51.1693788,,,,,,
0.065578765,0.011875939,-0.028379439,134.6542046,-51.16940245,,,,,,
0.046256184,-0.000200675,-0.026769224,134.6542045,-51.16942476,,,,,,
0.026933603,0.005435078,-0.016302826,134.654209,-51.16943834,,,,,,
-0.08417124,0.005435078,-0.014692611,134.6542135,-51.16945059,,,,,,
0.065578765,0.008655509,-0.012277288,134.6542208,-51.16946082,,,,,,
0.157361027,0.001409541,-0.016302826,134.6542219,-51.1694744,,,,,,
0.065578765,0.009460616,-0.017913041,134.6542298,-51.16948933,,,,,,
0.065578765,0.006240186,-0.014692611,134.654235,-51.16950157,,,,,,
0.041425539,0.006240186,-0.017913041,134.6542402,-51.1695165,,,,,,
0.007611021,0.006240186,-0.020328363,134.6542454,-51.16953344,,,,,,
0.026933603,0.006240186,-0.017913041,134.6542506,-51.16954837,,,,,,
0.036594893,0.011070831,-0.017107933,134.6542598,-51.16956263,,,,,,
0.176683608,0.002214648,-0.016302826,134.6542617,-51.16957621,,,,,,
0.084901347,0.004629971,-0.012277288,134.6542655,-51.16958644,,,,,,
